company_name,company_slug,company_url,review_count,company_type,company_size,company_address,processed
Konbini (2),konbini,https://congty.review/companies/konbini,2,,,Konbini (2) product 1-50 Lê Văn Thiêm Ha Noi,False
Vsmall (1),vsmall,https://congty.review/companies/vsmall,1,,,Vsmall (1) product 1-50 Ha Noi,False
TTS Corps (1),tts-corps,https://congty.review/companies/tts-corps,1,,,TTS Corps (1) product 1-50 56 Vân Côi Tan Binh Ho Chi Minh,False
Thuận An / TADC (1),thuan-an-tadc,https://congty.review/companies/thuan-an-tadc,1,,,"Thuận An / TADC (1) product 51-150 P1503 tòa nhà 5A, Lê Đức Thọ, Mai Dịch Nam Tu Liem Ha Noi",False
Nucleus Studio (1),nucleus-studio,https://congty.review/companies/nucleus-studio,1,,,Nucleus Studio (1) product 1-50 Ho Chi Minh,False
VACOM (1),vacom,https://congty.review/companies/vacom,1,,,VACOM (1) product 1-50 81 Ha Noi,False
Công ty TNHH Công nghệ Web Số (1),cong-ty-tnhh-cong-nghe-web-so,https://congty.review/companies/cong-ty-tnhh-cong-nghe-web-so,1,,,"Công ty TNHH Công nghệ Web Số (1) outsource 51-150 Binh Tan, Ho Chi Minh",False
Kiểm Toán Và Định Giá Thăng Long TDK (3),kiem-toan-va-dinh-gia-thang-long-tdk,https://congty.review/companies/kiem-toan-va-dinh-gia-thang-long-tdk,3,,,"Kiểm Toán Và Định Giá Thăng Long TDK (3) outsource 1-10 Số nhà 01/53/49/2 đường Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội",False
WebPlus (1),webplus,https://congty.review/companies/webplus,1,,,WebPlus (1) product 1-50 266 Đội Cấn Ba Dinh Ha Noi,False
IFB Holdings (1),ifb-holdings,https://congty.review/companies/ifb-holdings,1,,,IFB Holdings (1) product 51-150 District 4 Ho Chi Minh,False
WEEGOON GLOBAL (5),weegoon-global,https://congty.review/companies/weegoon-global,5,,,"WEEGOON GLOBAL (5) product 1-50 Thanh Xuan, Ha Noi",False
Vikisa (1),vikisa,https://congty.review/companies/vikisa,1,,,Vikisa (1) product 1-50 Đỗ Đức Dục Nam Tu Liem Ha Noi,False
Monster Pixel (8),monster-pixel,https://congty.review/companies/monster-pixel,8,,,Monster Pixel (8) product 1-50 168 Bùi Thị Xuân Tan Binh Ho Chi Minh,False
ETON (2),eton,https://congty.review/companies/eton,2,,,"ETON (2) product 1-50 168 Võ Thị Sáu, Phường 8 District 3 Ho Chi Minh",False
ROXWIN (2),roxwin,https://congty.review/companies/roxwin,2,,,ROXWIN (2) product 1-50 Ha Noi,False
QTC Media (1),qtc-media,https://congty.review/companies/qtc-media,1,,,,False
Saltpixel (4),saltpixel,https://congty.review/companies/saltpixel,4,,,Saltpixel (4) product 51-150 83 Vu Trong Phung Thanh Xuan Ha Noi,False
Geodis (1),geodis,https://congty.review/companies/geodis,1,,,Geodis (1) product 151-300 39 Truong Son Tan Binh Ho Chi Minh,False
TrophyRoom (2),trophyroom,https://congty.review/companies/trophyroom,2,,,"TrophyRoom (2) product 1-50 District 1, Ho Chi Minh",False
HotTab (4),hottab,https://congty.review/companies/hottab,4,,,HotTab (4) product 51-150 1 D8 Trần Huy Liệu Ba Dinh Ha Noi,False
BROTHER VIỆT NAM (1),brother-viet-nam,https://congty.review/companies/brother-viet-nam,1,,,,False
Cinqsmile (4),cinqsmile,https://congty.review/companies/cinqsmile,4,,,Cinqsmile (4) product 1-50 Nguyễn Bỉnh Khiêm District 1 Ho Chi Minh,False
CÔNG TY TNHH CASHBAG (3),cong-ty-tnhh-cashbag,https://congty.review/companies/cong-ty-tnhh-cashbag,3,,,,False
Nippo Mechatronics Vietnam (2),nippo-mechatronics-vietnam,https://congty.review/companies/nippo-mechatronics-vietnam,2,,,"Nippo Mechatronics Vietnam (2) product 51-150 Lot C37 Noi Bai Industrial Zone, Soc Son Soc Son Ha Noi",False
Adlead Vietnam (2),adlead-vietnam,https://congty.review/companies/adlead-vietnam,2,,,Adlead Vietnam (2) product 1-50 A16 - Tòa nhà GreenPark Tower - Dương Đình Nghệ Cau Giay Ha Noi,False
Javac Technology (7),javac-technology,https://congty.review/companies/javac-technology,7,,,"Javac Technology (7) outsource 1-50 Tòa nhà Scetpa, 19A Cộng Hòa, P.12 Tan Binh Ho Chi Minh",False
TOT - Top On Tech (6),tot-top-on-tech,https://congty.review/companies/tot-top-on-tech,6,,,"TOT - Top On Tech (6) outsource 1-50 Ho Chi Minh, Da Nang",False
Công ty Liên doanh Vận chuyển Quốc tế Hải Vân (1),cong-ty-lien-doanh-van-chuyen-quoc-te-hai-van,https://congty.review/companies/cong-ty-lien-doanh-van-chuyen-quoc-te-hai-van,1,,,Công ty Liên doanh Vận chuyển Quốc tế Hải Vân (1) product 51-150 Ha Noi,False
Agate Technology Solutions (1),agate-technology-solutions,https://congty.review/companies/agate-technology-solutions,1,,,Agate Technology Solutions (1) product 1-50 Ho Chi Minh,False
Caotoc Group (1),caotoc-group,https://congty.review/companies/caotoc-group,1,,,Caotoc Group (1) product 51-150 54 Nguyen Binh Khiem District 1 Ho Chi Minh,False
VeeGroup (1),veegroup,https://congty.review/companies/veegroup,1,,,VeeGroup (1) product 51-150 2 Vong Ha Hoan Kiem Ha Noi,False
CSC Vietnam (36),csc-vietnam,https://congty.review/companies/csc-vietnam,36,,,CSC Vietnam (36) outsource 151-300 366 Nguyen Trai Ho Chi Minh,False
Phuc Thanh Group (4),phuc-thanh-group,https://congty.review/companies/phuc-thanh-group,4,,,Phuc Thanh Group (4) product 1-50 77 Nguyễn Thái Học Ba Dinh Ha Noi,False
Kimson (5),kimson,https://congty.review/companies/kimson,5,,,"Kimson (5) product 51-150 86/39 Phổ Quang, Phường 2 Tan Binh Ho Chi Minh",False
PPLUS (1),pplus,https://congty.review/companies/pplus,1,,,"PPLUS (1) product 51-150 Phu Nhuan, Ho Chi Minh",False
MCorp (1),mcorp,https://congty.review/companies/mcorp,1,,,"MCorp (1) outsource 51-150 Nam Tu Liem, Ha Noi",False
Origin Agency (2),origin-agency,https://congty.review/companies/origin-agency,2,,,Origin Agency (2) product 1-50 1 Pasteur District 1 Ho Chi Minh,False
HYUNDAI Information Technology (3),hyundai-information-technology,https://congty.review/companies/hyundai-information-technology,3,,,HYUNDAI Information Technology (3) product 51-150 Thanh Xuan Ha Noi,False
Laser Ưu Việt Olas (1),laser-uu-viet-olas,https://congty.review/companies/laser-uu-viet-olas,1,,,"Laser Ưu Việt Olas (1) product 11-50 22-24 Nguyễn Thị Thập, KĐTM Him Lam, Phường Tân Hưng, Quận 7, TP.HCM",False
Dios Investment (1),dios-investment,https://congty.review/companies/dios-investment,1,,,"Dios Investment (1) outsource 11-50 27 Trần Duy Hưng, Hà Nội",False
FINALSTYLE (1),finalstyle,https://congty.review/companies/finalstyle,1,,,FINALSTYLE (1) product 1-50 Mỹ Đình Nam Tu Liem Ha Noi,False
